,step,loss,seq_length,seed,model
0,0,1.0932540893554688,81,42,LSTM
1,10,0.955888569355011,81,42,LSTM
2,20,0.8502576947212219,81,42,LSTM
3,30,0.7512646913528442,81,42,LSTM
4,40,0.6911179423332214,81,42,LSTM
5,50,0.6491193771362305,81,42,LSTM
6,60,0.6099284887313843,81,42,LSTM
7,70,0.6335325837135315,81,42,LSTM
8,80,0.6078848838806152,81,42,LSTM
9,90,0.6293700933456421,81,42,LSTM
10,100,0.6177290081977844,81,42,LSTM
11,110,0.6467372179031372,81,42,LSTM
12,120,0.678611695766449,81,42,LSTM
13,130,0.6307277083396912,81,42,LSTM
14,140,0.5976945757865906,81,42,LSTM
15,150,0.6279446482658386,81,42,LSTM
16,160,0.6427121162414551,81,42,LSTM
17,170,0.6236099004745483,81,42,LSTM
18,180,0.6150497198104858,81,42,LSTM
19,190,0.6915571689605713,81,42,LSTM
20,200,0.6456281542778015,81,42,LSTM
21,210,0.6593732833862305,81,42,LSTM
22,220,0.6206715106964111,81,42,LSTM
23,230,0.6212971210479736,81,42,LSTM
24,240,0.6225116848945618,81,42,LSTM
25,250,0.6103333234786987,81,42,LSTM
26,260,0.6080656051635742,81,42,LSTM
27,270,0.5977982878684998,81,42,LSTM
28,280,0.6344976425170898,81,42,LSTM
29,290,0.6394094824790955,81,42,LSTM
30,300,0.6642568111419678,81,42,LSTM
31,310,0.6435564160346985,81,42,LSTM
32,320,0.6656946539878845,81,42,LSTM
33,330,0.6566914916038513,81,42,LSTM
34,340,0.6552141308784485,81,42,LSTM
35,350,0.6006947755813599,81,42,LSTM
36,360,0.6504892110824585,81,42,LSTM
37,370,0.6227476596832275,81,42,LSTM
38,380,0.6574891805648804,81,42,LSTM
39,390,0.6514548063278198,81,42,LSTM
40,400,0.6888059377670288,81,42,LSTM
41,410,0.6004315614700317,81,42,LSTM
42,420,0.6437727212905884,81,42,LSTM
43,430,0.6763612627983093,81,42,LSTM
44,440,0.6481972932815552,81,42,LSTM
45,450,0.5933163166046143,81,42,LSTM
46,460,0.6721174716949463,81,42,LSTM
47,470,0.6217721700668335,81,42,LSTM
48,480,0.6639782190322876,81,42,LSTM
49,490,0.6458555459976196,81,42,LSTM
50,500,0.6567250490188599,81,42,LSTM
51,510,0.6217365860939026,81,42,LSTM
52,520,0.592535138130188,81,42,LSTM
53,530,0.6006748080253601,81,42,LSTM
54,540,0.6098833680152893,81,42,LSTM
55,550,0.6397939920425415,81,42,LSTM
56,560,0.6438825726509094,81,42,LSTM
57,570,0.6210715770721436,81,42,LSTM
58,580,0.6448855400085449,81,42,LSTM
59,590,0.6426435112953186,81,42,LSTM
60,600,0.6519454121589661,81,42,LSTM
61,610,0.6228729486465454,81,42,LSTM
62,620,0.655945897102356,81,42,LSTM
63,630,0.6229260563850403,81,42,LSTM
64,640,0.6514459252357483,81,42,LSTM
65,650,0.6189544796943665,81,42,LSTM
66,660,0.6058712601661682,81,42,LSTM
67,670,0.5946004390716553,81,42,LSTM
68,680,0.6221588253974915,81,42,LSTM
69,690,0.6445412039756775,81,42,LSTM
70,700,0.6369916200637817,81,42,LSTM
71,710,0.6550559997558594,81,42,LSTM
72,720,0.6231619715690613,81,42,LSTM
73,730,0.6218950152397156,81,42,LSTM
74,740,0.6172448992729187,81,42,LSTM
75,750,0.6459523439407349,81,42,LSTM
76,760,0.5747697353363037,81,42,LSTM
77,770,0.6794561743736267,81,42,LSTM
78,780,0.6457669138908386,81,42,LSTM
79,790,0.6309925317764282,81,42,LSTM
80,800,0.6749037504196167,81,42,LSTM
81,810,0.6468045115470886,81,42,LSTM
82,820,0.6345838904380798,81,42,LSTM
83,830,0.6358997821807861,81,42,LSTM
84,840,0.6628824472427368,81,42,LSTM
85,850,0.6699040532112122,81,42,LSTM
86,860,0.6116743087768555,81,42,LSTM
87,870,0.6429950594902039,81,42,LSTM
88,880,0.6325591206550598,81,42,LSTM
89,890,0.623764157295227,81,42,LSTM
90,900,0.6373739242553711,81,42,LSTM
91,910,0.6283676028251648,81,42,LSTM
92,920,0.6423183083534241,81,42,LSTM
93,930,0.6333826780319214,81,42,LSTM
94,940,0.6132915616035461,81,42,LSTM
95,950,0.63214111328125,81,42,LSTM
96,960,0.6452741622924805,81,42,LSTM
97,970,0.6277896165847778,81,42,LSTM
98,980,0.6348148584365845,81,42,LSTM
99,990,0.6501649618148804,81,42,LSTM
100,1000,0.6212870478630066,81,42,LSTM
101,1010,0.6027972102165222,81,42,LSTM
102,1020,0.6399645805358887,81,42,LSTM
103,1030,0.6604615449905396,81,42,LSTM
104,1040,0.6257765889167786,81,42,LSTM
105,1050,0.6595602631568909,81,42,LSTM
106,1060,0.6275768280029297,81,42,LSTM
107,1070,0.6403385996818542,81,42,LSTM
108,1080,0.6142458319664001,81,42,LSTM
109,1090,0.6230174899101257,81,42,LSTM
110,1100,0.6827278733253479,81,42,LSTM
111,1110,0.6101201772689819,81,42,LSTM
