,step,acc,seq_length,seed,model
0,0,0.66015625,41,42,peepLSTM
1,10,0.671875,41,42,peepLSTM
2,20,0.640625,41,42,peepLSTM
3,30,0.7109375,41,42,peepLSTM
4,40,0.67578125,41,42,peepLSTM
5,50,0.66015625,41,42,peepLSTM
6,60,0.70703125,41,42,peepLSTM
7,70,0.703125,41,42,peepLSTM
8,80,0.68359375,41,42,peepLSTM
9,90,0.64453125,41,42,peepLSTM
10,100,0.63671875,41,42,peepLSTM
11,110,0.6484375,41,42,peepLSTM
12,120,0.671875,41,42,peepLSTM
13,130,0.6328125,41,42,peepLSTM
14,140,0.71875,41,42,peepLSTM
15,150,0.640625,41,42,peepLSTM
16,160,0.6484375,41,42,peepLSTM
17,170,0.6328125,41,42,peepLSTM
18,180,0.6640625,41,42,peepLSTM
19,190,0.625,41,42,peepLSTM
20,200,0.74609375,41,42,peepLSTM
21,210,0.65234375,41,42,peepLSTM
22,220,0.72265625,41,42,peepLSTM
23,230,0.6484375,41,42,peepLSTM
24,240,0.6953125,41,42,peepLSTM
25,250,0.66796875,41,42,peepLSTM
26,260,0.68359375,41,42,peepLSTM
27,270,0.66796875,41,42,peepLSTM
28,280,0.671875,41,42,peepLSTM
29,290,0.65625,41,42,peepLSTM
30,300,0.70703125,41,42,peepLSTM
31,310,0.67578125,41,42,peepLSTM
32,320,0.65625,41,42,peepLSTM
33,330,0.68359375,41,42,peepLSTM
34,340,0.6875,41,42,peepLSTM
35,350,0.64453125,41,42,peepLSTM
36,360,0.71484375,41,42,peepLSTM
37,370,0.69140625,41,42,peepLSTM
38,380,0.62109375,41,42,peepLSTM
39,390,0.63671875,41,42,peepLSTM
40,400,0.62109375,41,42,peepLSTM
41,410,0.69921875,41,42,peepLSTM
42,420,0.63671875,41,42,peepLSTM
43,430,0.671875,41,42,peepLSTM
44,440,0.74609375,41,42,peepLSTM
45,450,0.69140625,41,42,peepLSTM
46,460,0.6953125,41,42,peepLSTM
47,470,0.6640625,41,42,peepLSTM
48,480,0.64453125,41,42,peepLSTM
49,490,0.671875,41,42,peepLSTM
50,500,0.69921875,41,42,peepLSTM
51,510,0.62890625,41,42,peepLSTM
52,520,0.73046875,41,42,peepLSTM
53,530,0.6484375,41,42,peepLSTM
54,540,0.6875,41,42,peepLSTM
55,550,0.65234375,41,42,peepLSTM
56,560,0.65625,41,42,peepLSTM
57,570,0.6484375,41,42,peepLSTM
58,580,0.65625,41,42,peepLSTM
59,590,0.703125,41,42,peepLSTM
60,600,0.66015625,41,42,peepLSTM
61,610,0.59375,41,42,peepLSTM
62,620,0.69140625,41,42,peepLSTM
63,630,0.6640625,41,42,peepLSTM
64,640,0.69140625,41,42,peepLSTM
65,650,0.74609375,41,42,peepLSTM
66,660,0.7109375,41,42,peepLSTM
67,670,0.671875,41,42,peepLSTM
68,680,0.68359375,41,42,peepLSTM
69,690,0.68359375,41,42,peepLSTM
70,700,0.7421875,41,42,peepLSTM
71,710,0.65234375,41,42,peepLSTM
72,720,0.70703125,41,42,peepLSTM
73,730,0.69921875,41,42,peepLSTM
74,740,0.65625,41,42,peepLSTM
75,750,0.63671875,41,42,peepLSTM
76,760,0.76171875,41,42,peepLSTM
77,770,0.73828125,41,42,peepLSTM
78,780,0.671875,41,42,peepLSTM
79,790,0.72265625,41,42,peepLSTM
80,800,0.73046875,41,42,peepLSTM
81,810,0.75,41,42,peepLSTM
82,820,0.6875,41,42,peepLSTM
83,830,0.69921875,41,42,peepLSTM
84,840,0.73828125,41,42,peepLSTM
85,850,0.75,41,42,peepLSTM
86,860,0.73828125,41,42,peepLSTM
87,870,0.69921875,41,42,peepLSTM
88,880,0.73828125,41,42,peepLSTM
89,890,0.75390625,41,42,peepLSTM
90,900,0.796875,41,42,peepLSTM
91,910,0.75,41,42,peepLSTM
92,920,0.71875,41,42,peepLSTM
93,930,0.78515625,41,42,peepLSTM
94,940,0.73828125,41,42,peepLSTM
95,950,0.79296875,41,42,peepLSTM
96,960,0.77734375,41,42,peepLSTM
97,970,0.77734375,41,42,peepLSTM
98,980,0.75390625,41,42,peepLSTM
99,990,0.7421875,41,42,peepLSTM
100,1000,0.76953125,41,42,peepLSTM
101,1010,0.73046875,41,42,peepLSTM
102,1020,0.765625,41,42,peepLSTM
103,1030,0.76953125,41,42,peepLSTM
104,1040,0.7734375,41,42,peepLSTM
105,1050,0.765625,41,42,peepLSTM
106,1060,0.79296875,41,42,peepLSTM
107,1070,0.796875,41,42,peepLSTM
108,1080,0.796875,41,42,peepLSTM
109,1090,0.8046875,41,42,peepLSTM
110,1100,0.8046875,41,42,peepLSTM
111,1110,0.7421875,41,42,peepLSTM
112,1120,0.71875,41,42,peepLSTM
113,1130,0.83984375,41,42,peepLSTM
114,1140,0.859375,41,42,peepLSTM
115,1150,0.83984375,41,42,peepLSTM
116,1160,0.81640625,41,42,peepLSTM
117,1170,0.84375,41,42,peepLSTM
118,1180,0.81640625,41,42,peepLSTM
119,1190,0.75390625,41,42,peepLSTM
120,1200,0.82421875,41,42,peepLSTM
121,1210,0.82421875,41,42,peepLSTM
122,1220,0.8046875,41,42,peepLSTM
123,1230,0.8984375,41,42,peepLSTM
124,1240,0.87109375,41,42,peepLSTM
125,1250,0.765625,41,42,peepLSTM
126,1260,0.77734375,41,42,peepLSTM
127,1270,0.859375,41,42,peepLSTM
128,1280,0.87109375,41,42,peepLSTM
129,1290,0.828125,41,42,peepLSTM
130,1300,0.859375,41,42,peepLSTM
131,1310,0.76953125,41,42,peepLSTM
132,1320,0.87890625,41,42,peepLSTM
133,1330,0.73828125,41,42,peepLSTM
134,1340,0.890625,41,42,peepLSTM
135,1350,0.8203125,41,42,peepLSTM
136,1360,0.90234375,41,42,peepLSTM
137,1370,0.87109375,41,42,peepLSTM
138,1380,0.87890625,41,42,peepLSTM
139,1390,0.8671875,41,42,peepLSTM
140,1400,0.90234375,41,42,peepLSTM
141,1410,0.8203125,41,42,peepLSTM
142,1420,0.7890625,41,42,peepLSTM
143,1430,0.80859375,41,42,peepLSTM
144,1440,0.85546875,41,42,peepLSTM
145,1450,0.77734375,41,42,peepLSTM
146,1460,0.8984375,41,42,peepLSTM
